federation_code,first_name,last_name,no,nationality,gender
CAN,Marie,Prentice,137867,,1
RUS,Tatiana,Kunysheva,137868,,1
POL,Daniel,Mroz,137869,,0
POL,Edyta,Szynalik,137870,,1
POL,Maciej,Szynalik,137871,,0
SVK,Petra,Holičová,137872,,1
SVK,Rastislav,Rajt,137873,,0
BRA,Jonathan Danilo Holzmann,Silveira,137874,,0
BRA,Agnelo Cavalcanti,Dos Santos,137875,,0
MLD,Alexandru,Stratan,137876,,0
GER,Ratislav,Rajt,137877,,0
SRB,Dzeni,Hadzisehovic,137878,,1
BRA,Valderes Oridice,Dos Santos,137879,,1
GER,Urs Karl,Günthör,137880,,0
POR,Nuria,Lopes da Silva,137881,,1
ESP,Lucia Dominica,De Salas Cansado,137882,,1
ITA,Giorgio,De Totis,137883,,0
BRA,Bryan Romano,Farani,137884,,0
SRB,Petar,Turanjanin,137885,,0
USA,Michael,Sauro,137886,,0
THA,Watanya,Kaewmesri,137887,,1
THA,Nawaporn,Aekpudcha,137888,,1
USA,Ryan,Huberty,137889,,0
SRB,Srecko,Ristic,137890,,0
SRB,Vladimir,Jokic,137891,,0
SRB,Vladimir,Jovic,137892,,0
BRA,Bruno Tiago Godoi,Da Silva,137893,,0
BRA,Márcia Juliana,Fusieger,137894,,1
USA,Jacob,Moore,137895,,0
SRB,Nebojsa,Januzovic,137896,,0
BRA,Ana Maria,Gosling,137897,,1
GER,Anja,Kastner,137898,,1
ITA,Cecilia,Tortoreto,137899,,1
GER,Katrin,Kreuzer,137901,,1
BIH,Sandra,Likić,137902,,1
POL,Marta,Kazmierczak,137903,,1
CRO,Maja,Batina,137904,,1
CAN,Gabriel Dominique,Bruzzese,137905,,0
USA,Sydney,DeTurk,137906,,1
DEN,Simon,Bitsch,137907,,0
UKR,Svitlana,Shvanska,137908,,1
BUL,Ana,Radicheva,137909,,1
BRA,Thiago,Gelinski,137910,,0
BRA,Evandro Dias,De Souza,137911,,0
BRA,Mario Augusto Dos Santos,Junior,137912,,0
FRA,Thomas,Deloison,137913,,0
USA,Michael,Morice,137914,,0
USA,Jason,Yhost,137915,,0
MLD,Mariana,Aydin,137916,,1
COL,Jorge,Medina,137931,,0
USA,Angela,Hupp,137932,,1
VEN,José,Enriquez,137933,,0
VEN,Enriquez,José,137934,,0
KAZ,Sergey,Radkevich,137936,,0
KAZ,Evgeny,Dragunov,137937,,0
SRB,Nemanja,Stefanovic,137938,,0
SRB,Nemanja,Stevanovic,137940,,0
SRB,Tijana,Boškovic,137941,,1
GRE,Zlatin,Georgiev,137942,,0
GER,Nadja,Risch,137943,,1
ESP,Nuria,Diaz Giralt,137944,,1
SRB,Ivan,Borovnjak,137945,,0
USA,Jacqueline,Davisson,137946,,1
EGY,Galal,Shahin,137947,,0
COL,Fabian,Calderon,137948,,0
VIE,Kim Trong,Lam,137949,,0
VIE,Thi Tiep,Nguyen,137950,,1
ZIM,Felistas,Chakabveyo,137952,,1
ZIM,Cathrine,Mashonganyika,137954,,1
BUL,Georgi,Kavardzhiev,137955,,0
FRA,Nicolas,Lanard,137956,,0
FRA,Pierrick,Salaun,137957,,0
ITA,Luca,Pietrelli,137958,,0
BUL,Simona,Ivanova,137959,,1
UKR,Maryna,Martsynyuk,137960,,1
UKR,Marta,Mulna,137961,,1
BRA,Bruno Bueckmann,Diegoli,137963,,0
POL,Tomasz,Jozefacki,137964,,0
USA,Quincy,Verdin,137965,,1
RWA,Alexis,Nkuranga,137966,,0
RWA,Guillaume,Irakarama,137967,,0
ZIM,Brighton ,Ngunzi,137968,,0
ZIM,Everisto,Mupukuta,137969,,0
BUL,Irena,Mishonova,137970,,1
GER,Sascha,Kempf,137971,,0
SVK,Veronika,Halkova,137972,,1
ROU,Georgiana Gabriela,Gilovean,137973,,1
ARG,Franco Daniel,Retamozo,137974,,0
USA,Audra,Penney,137975,,1
SRB,Vladimir,Usiljanin,137976,,0
BRA,Everaldo Felipe Frangiotti,Castro Silva,137978,,0
BRA,Leonardo Gomes,Batista,137979,,0
NED,Corine,Lentelink,137980,,1
RUS,Svetlana,Mecaloglu (Lagutina),137981,,1
BUL,Katya,Tsankova,137982,,1
BIH,Milan,Aćimović,137983,,0
QAT,Ribeiro,Renan,137984,,0
QAT,Mohamed,Faysel,137985,,0
QAT,Hisham,Amro,137986,,0
LTU,Radoslav,Adamovic,137987,,0
POL,Klaudia,Grelowska,137988,,1
SRB,Ivan,Steljic,137989,,0
DEN,Simon,Gade,137990,,0
BIH,Miodrag,Marinković,137991,,0
TOG,Akofa Akou ,Adandohoin,137992,,1
TOG,Faouziatou,Salami-Tea,137993,,1
BUL,Zaharina,Kaseva,137994,,1
ITA,Francesco Nicola,Carelli,137995,,0
CPV,Hernani,Pereira,137996,,0
CAN,Andrew,Korol,137997,,0
KEN,Noel,Murambi,137998,,1
KEN,Chemtai,Ndiema,137999,,1
KEN,Chemtai,Ngeiywo,138000,,1
ARG,Maria Victoria,Orce,138001,,1
ARG,Daniel Fernando,Mendieta,138002,,0
ENG,Simon,Mintoft,138003,,0
USA,Philip,Tully,138004,,0
BRA,Johanna Vieira,Edberg,138005,,1
AUS,Teresa,Dixon,138006,,1
SVK,Veronika,Richweissova,138007,,1
ROU,Ioana,Nemtanu,138008,,1
GER,Patrick,Stellfeld,138009,,0
SVK,Sona,Behrova,138010,,1
BRA,Marcilene Costa,dos Santos,138012,,1
ARG,Natalia,Aispurua,138013,,1
NZL,Abbey,Greenwood,138014,,1
ARG,Maria Jimena,Perez,138015,,1
ARG,Mariangeles,Cossar,138016,,1
KAZ,Tatyana,Mudritskaya,138017,,1
ITA,Andrea,Giovi,138018,,0
VEN,Edwin Jesus,Montano Aliendres,138019,,0
FRA,Gregory,Duyck,138020,,0
BRA,Felipe Da Silva,Machado Araújo,138021,,0
BRA,Arthur Borges Araujo,Do Nascimento,138022,,0
BRA,Carlos André,Leoncio,138023,,0
BRA,Saulo Costa,Ferreira,138024,,0
ALG,Amina,Saoud,138025,,1
ALG,Sihem,Saoud,138026,,1
GHA,Jonathan,Kwesi Sarpong,138027,,0
JPN,Kazuyoshi,Yokota,138028,,0
JPN,Masashi,Kuriyama,138029,,0
UKR,Oleksandr,Nikishyn,138030,,0
KOR,Jae-Eun,Lee,138031,,1
BIH,Kenan,Halilović,138032,,0
KOR,Youn-Ok,Choi,138033,,1
BIH,Danijela,Simić,138034,,1
RWA,Marie Josée,Mukeshingabire,138035,,1
SRB,Nikola,Mijailovic,138036,,0
RWA,Angélique,Uwibambe,138037,,1
UKR,Larysa,Lifanova,138038,,1
ITA,Fabio,Di Fazio,138039,,0
FRA,Gregory,Duyck,138040,,0
ARG,Virginia Sol,Vilchez,138041,,1
COL,Cristhian,Murillo,138042,,0
COL,Juan Carlos,Hincapie,138043,,0
ARG,Carlos Alberto,Almeida,138044,,0
MRI,Stephane,Moonisamy,138045,,0
BUL,Ivan,Dimitrov,138047,,0
SRB,Emilija,Milovanovic,138048,,1
SRB,Vesna,Joksimovic,138049,,1
GHA,Joseph ,Daniels,138050,,0
BLR,Yaraslau,Pryshmont,138051,,0
AUT,Julia,Pammer,138052,,1
SRB,Jelena,Josovic,138053,,1
ITA,Giulia,Pistani,138054,,1
ITA,Cesena,Eleonora,138055,,1
ITA,Eleonora,Cesena,138056,,1
KEN,Nancy,Mulonza,138057,,1
RUS,Mikhail,Kashkarov,138059,,0
BRA,Adrielle Moreira Oliveira,de Sousa,138060,,1
BRA,Jennyfer Rayanne,Silva,138061,,1
BRA,Raquel Pereira,dos Anjos,138062,,1
ARG,Carlos Antonio,Alaniz,138063,,0
USA,Alanna,McDonald,138064,,1
ESP,Hector,Martin Parra,138065,,0
AUS,Nikki,Bishop,138066,,1
BLR,Alena,Salii,138067,,1
SLE,Aminata,Macarthy,138068,,1
VIE,Thi Tiep,Nguyen,138069,,1
RUS,Alexander,Alexandrov,138070,,0
RUS,Alexey,Nikitin,138071,,0
TUR,Ahmet Yusuf,Güray,138073,,0
SVK,Lucia,Krskova,138074,,1
EST,Janika,Lillipuu,138075,,1
SRB,Stefana,Prokovic,138076,,1
ARG,Jose Maria,Meoniz,138077,,0
VEN,Eder,Noguera,138078,,0
VEN,Carlos,Rangel,138080,,0
COL,Hugo,Bravo,138081,,0
NZL,Tim,Middlehurst,138083,,0
NED,Sterre,Van Doorn,138084,,1
ITA,Mauro,De Sario,138085,,0
ITA,Michele,Groppi,138086,,0
ITA,Giulia,Bellavia,138087,,1
BRA,Valquiria Aparecida Correa,Caboclo,138088,,1
INA,Muhammad,Bastomi,138089,,0
RUS,Anton,Vazhenin,138090,,0
UKR,Anastasiia,Waremshtein,138091,,1
POR,Indonésia Faria Menezes,Dos Santos,138092,,1
ITA,Valentina,Fiorin,138093,,1
SRB,Ivana,Kujundzic,138094,,1
ARG,Marcos Hector,Peña,138095,,0
COL,David,Plaza,138096,,0
USA,Lauren,Salisbury,138097,,1
CHN,Yunyi,Zhang,138098,,1
CHN,Wei,Zhong,138099,,0
UKR,Maryna,Deinega,138100,,1
INA,Efa,Susilowati,138101,,1
CZE,Barbora,Purchartova,138102,,1
GER,Julia,Dobrzinski,138103,,1
BLR,Aliaksei,Tsiareshka,138104,,0
BIH,Dajana,Bošković,138105,,1
CAN,Andrew,Town,138106,,0
BIH,Slađana,Ujić,138108,,1
ITA,Elisa,Bellavia,138109,,1
ITA,Alessandro,Escher,138110,,0
GUA,Victor Manuel,Mejia Rivera,138111,,0
GUA,Jose Stuardo,Samayoa Ortiz,138112,,0
GUA,Gustavo Adolfo,Cuevas Bedoya,138113,,0
GUA,Nelson Stuardo,Delgadillo Ramirez,138114,,0
GUA,Mark David Andree,Alvarez Marroquin,138115,,0
BEL,Fabien,Lequeue,138116,,0
HKG,Yung Yung,Koo,138117,,1
KEN,Margaret,Ndakala,138118,,1
ITA,Alessia,Pasqualini,138119,,1
GUA,Diego Javier,Suarez Ramirez,138120,,0
GUA,Juan Manuel,Guillén Hernández,138121,,0
GUA,Diego José,Gordillo Barillas,138122,,0
GUA,Juan Luis,Arias Lu,138123,,0
GUA,Emilio,Palomo Ruiz,138124,,0
CRC,Brichel,Ramirez,138125,,0
CRC,Alexandre,Salas Aguilar,138126,,0
CRC,Manuel,Quiros Blanco,138127,,0
CRC,Pablo,Araya Carvajal,138128,,0
GUA,Erick Alexander,Iboy Soto,138129,,0
GUA,José Andrés,Lara Medina,138130,,0
JPN,Momota,Shimada,138131,,0
UKR,Nadiia,Greseva,138132,,1
POL,Kudlacik,Joanna,138133,,1
HKG,Kei Loi,Chong,138134,,0
RUS,Andrey,Filatov,138135,,0
BUL,Viktor,Voykov,138136,,0
GUA,Erika,Mejia Rivera,138137,,1
GUA,Paula,Rivas Castañeda,138138,,1
GUA,Vivian,Sajquim Conde,138139,,1
GUA,Gabriela,Martinez Landaverde,138140,,1
GUA,Paula,Cordero Luarca,138141,,1
GUA,Natalia,Giron Boesche,138142,,1
GUA,Ligia,Hernández Campos,138143,,1
GUA,Alejandra,Rodriguez Perez,138144,,1
GUA,Estefani,Anleu Cerezo,138145,,1
GUA,Mishel,Catalán Martínez,138146,,1
GUA,Ivonne,Colloy Maldonado,138147,,1
GUA,Anneliesse,Rodriguez Motta,138148,,1
GUA,Anneliesse,Rodriguez Motta,138149,,1
RUS,Anna,Kurshina,138150,,1
GUA,Melany,Carrillo Lopez,138152,,1
GUA,Melany,Carrillo Lopez,138153,,1
POL,Marta,Szafraniak,138154,,1
POL,Anna,Orlowska,138155,,1
QAT,Edin,Musabegovic,138156,,0
CRC,Allan,Duarte Quintero,138157,,0
CRC,Antony,Solis Serrasi,138158,,0
CRC,David,Venegas Rojas,138159,,0
GUA,Kimberly,Martinez Perez,138160,,1
CRC,Valeria,Monge Chacon,138161,,1
CRC,Mariela,Vargas Brenes,138162,,1
CRC,Maria Fernanda,Alfaro Bolaños,138163,,1
GUA,Mariela,Martinez Perez,138164,,1
CRC,Tannia,Carazo Martinez,138165,,1
CRC,Maria monserratt,Brenes Leon,138166,,1
CRC,Alejandra,Gonzalez Ramirez,138167,,1
CRC,Andrea ,Murillo Arguedas,138168,,1
CRC,Angie,Montero Alfaro,138169,,1
CRC,monica,Castro Marin,138170,,1
CRC,Adriana ,Suarez,138171,,1
CRC,Lauren Lucia,Rodriguez Campos,138172,,1
CRC,Fabiola,Quiros Alfaro,138174,,1
CRC,Maria Fabiola,Borbon Mendez,138175,,1
CRC,Raquel ,Gonzalez Trejos,138176,,1
CRC,Sophia,Picado Mora,138177,,1
CRC,Jennifer,Fallas Gutierres,138178,,1
HON,Andrea,Diaz Vasquez,138179,,1
HON,Tiffany,Ramirez Bonilla,138180,,1
HON,Fabiola,Figueroa Bonilla,138181,,1
HON,Johana,Barahona Ortiz,138182,,1
HON,Daniela,Ordoñez Godoy,138183,,1
HON,Soamy,Salinas Carballo,138184,,1
HON,Cindy,Rodriguez Davis,138185,,1
HON,Carmen,Mendez Silva,138186,,1
HON,Ana,Cruz Riera,138187,,1
HON,Karla,Dixon Alvarenga,138188,,1
HON,Valeria,Zelaya Sorto,138189,,1
HON,Victoria,Callejas Raymond,138190,,1
HON,Nadiezda,Isaula Alvarenga,138191,,1
HON,Laura,Castro Ramirez,138192,,1
HON,Amy,Mejia Alvarado,138193,,1
HON,Maria,Torres Salgado,138194,,1
HON,Aliyah,Mejia Brown,138195,,1
HON,Manuel,Panchame Pavon,138196,,0
HON,Javier,Munguia Reyes,138197,,0
HON,Allan,Vijil Avila,138198,,0
HON,Jorge ,Arriola Benedith,138199,,0
HON,Esdras,Panchame Pavon,138200,,0
HON,Ruben,Mendoza Castillo,138201,,0
HON,Andre,Colindres Castillo,138202,,0
HON,Roger,Mendez Silva,138203,,0
HON,Jorge,Fernandez Fuentes,138204,,0
ESP,Daniel Martin,Alemany Alvarez,138205,,0
USA,Brooke,Seaman,138206,,1
NED,Steven,van de Velde,138207,,0
BRA,Roseane Pothin,Fernandes,138208,,1
USA,Michelle,Meyer,138209,,1
CGO,Marius ,Ambyero,138210,,0
CGO,Galvain,Malanda,138211,,0
ROU,Andrei Constantin,Butuc,138212,,0
BRN,Ali Ebrahim,Habib,138213,,0
CYP,Despina,Alambriti,138214,,1
CYP,Stavroula,Avraam,138215,,1
CYP,Despina,Avraam,138216,,1
CYP,Panayiota,Shikki,138217,,1
CYP,Sotia,Chira,138218,,1
KAZ,Alla,Bogdashkina,138219,,1
FRA,Olivier,Segre,138220,,0
BRA,Marcelo Facchina,Macedo Bessa,138221,,0
ITA,Jonathan,Massessi,138222,,0
SEN,Babacar,Nimbaly Tamba,138223,,0
BAR,Jabarry,Goodridge,138224,,0
TPE,Chia-Wei,Wu,138225,,1
TPE,Chun-Cheng,Tseng,138226,,1
TUR,Tugba,Kilic Ozdemicili,138227,,1
ARG,Jorge Fabian,Guardia,138228,,0
BAR,Kyle,Browne,138229,,0
NED,Ellen,Bijsterbosch,138230,,1
TPE,Yao-Tsung,Lee,138231,,1
TPE,Yao-Tsung,Lee,138232,,0
ITA,Daniele,Bellone,138233,,0
ITA,Caterina,Calleri,138234,,0
RUS,Anna,Kirillovskaya,138235,,1
USA,Samantha,Chukwura,138236,,1
NZL,Lefu,Leaupepe,138237,,0
USA,Kaitlin Sather,Nielsen,138238,,1
TPE,Chen-Wei,Hsu,138239,,0
TPE,Chun-Cheng,Tseng,138240,,0
ESP,Yaniel,Chavez Perez,138241,,0
USA,Amber,Ridens,138242,,1
TPE,Shang-Hsuan,Juan,138243,,0
UKR,Anna,Marushko,138244,,1
HKG,Mei Kit,Chan,138245,,1
QAT,Ilija,Ivoic,138246,,0
HKG,Fu Kin,Cheung,138247,,0
SRB,Bojan,Malinic,138248,,0
SRB,Svetislav,Mijic,138249,,0
USA,Jordan,Varee,138250,,0
CHN,Changzhong,Zhang,138251,,0
CHN,Wuqin,Lin,138252,,0
RUS,Sergey,Bushuev,138253,,0
ECU,Javier,Maldonado,138254,,0
ROU,Cornelia,Muresan,138255,,1
URU,Federico ,Corbo,138256,,0
IRI,Rouhollah,Salehi Nezhad Chaijani,138257,,0
JAM,Wayne,Scott,138258,,0
ESA,Jorge   ,Muñoz   Marroquin ,138259,,0
ESA,Rodrigo ,Sandoval  Zelada ,138260,,0
ESA,Michael,Santacruz Cabrera ,138261,,0
ESA,Carlos ,Bautista  Guerrero ,138262,,0
ESA,Cristian ,Vargas  Aguirre  ,138263,,0
ESA,Omar,Escobar   Benites,138264,,0
ESA,Jose,Martinez Cornejo  ,138265,,0
ESA,Renato,Huezo  Melara ,138266,,0
ESA,Daniel ,Umanzor Ortes ,138267,,0
ESA,Samuel ,Rivas  Bonilla,138268,,0
ESA,Enrique ,Martinez  Flores ,138269,,0
ESA,Martin,Rogel  Monterrosa  ,138270,,0
ESA,Kevin,Calderon Caceres,138271,,0
ESA,Ottmar,Escobar Benites,138272,,0
HON,Gerardo,Altamirano Cuello,138273,,0
ESP,Pablo,Carballar Rufo,138275,,0
ESP,Manuel María,Doña Contreras,138276,,0
SLO,Sara,Skaza,138277,,1
SVK,Sona,Slodickova,138278,,1
USA,Angelina,Waterman,138279,,1
RUS,Natalia,Marukhina,138280,,1
DEN,Lior,Koren,138281,,0
BDI,Ngabo,Dukundane,138282,,0
BUL,Lora,Kitipova,138283,,1
CGO,Chiya,Chiya,138284,,1
CGO,Kongolo,Kongolo,138285,,0
CGO,Amissi,Amissi,138286,,0
CGO,Mayaula,Mayaula,138287,,0
CGO,Ntongo,Ntongo,138288,,0
IRQ,Ali,Naser,138289,,0
IRQ,Yasir,Younus,138290,,0
IRQ,Mohammed,Alagu,138291,,0
IRQ,Osamah,Sabbar,138292,,0
BLR,Alena,Yakimava,138293,,1
USA,Brittany,Tillman,138294,,1
USA,Susanne,Jacobi,138295,,1
LCA,Jamilla,Lansiquot,138296,,1
FRA,Christian,Bahamondes,138297,,0
FRA,Emilie,Deslandes,138298,,1
GER,Paul,Gette,138299,,0
BUL,Petya,Veneva,138300,,1
COL,Yuly,Salamanca,138301,,1
KUW,Sultan Kh M,Abdulmajieid,138302,,0
KUW,Hamad S A M,Alshayji,138303,,0
KUW,Abduallah Y M A,Alasaaf,138304,,0
KUW,Abdualrahman,Alasaaf,138305,,0
KUW,Abdulaziz H A A A,Dashti,138306,,0
RUS,Anna,Popova,138307,,1
ITA,Roberto,Papagna,138308,,0
BRA,Thais,Rodrigues Ferreira,138309,,1
NCA,Rodolfp,Sanchez Ampie,138310,,0
NCA,Román,Marín López,138311,,0
NCA,Zadkiel,Lazo Mena,138312,,0
NCA,Alvaro,Hernández Ortéz,138313,,0
NCA,Erik,Vanegas Muller,138314,,0
NCA,Gabriel,Tenorio Barrios,138315,,0
NCA,Sergio,Granera Gurdián,138316,,0
NCA,Abner,Mendoza García,138317,,0
NCA,Iván,Mejía Picado,138318,,0
LAT,Valters,Krams,138319,,0
BIZ,Kayla,Burrowes,138320,,1
BIZ,Iyannie,Castillo,138321,,1
BIZ,Alexandra,Smith,138322,,1
BIZ,Zakiya,Young,138323,,1
BIZ,Vivian,Alamina,138324,,1
BIZ,Bernard,Karina,138325,,1
BIZ,Karina,Bernard,138326,,1
GUA,Kevin Leonel,RAFAEL Mc CARTHY,138327,,0
GUA,Jaime Emmanuel,Vasquez Alvarez,138328,,0
GUA,Mark David Andree,Alvarez Marroquin,138329,,0
NCA,Rodolfo,Sanchez Ampie,138330,,0
NCA,Francis,Espinoza Gonzalez,138331,,1
NCA,Ditzy,Ortiz Zepeda,138332,,1
NCA,Yuliana,Tobie Altamirano,138333,,1
NCA,Pamela,Cubillo Pavon,138334,,1
NCA,Emily,Granja Rodriguez,138335,,1
NCA,Fernanda,Mendoza Davila,138336,,1
NCA,Perla,Valenzuela Guzman,138337,,1
NCA,Gilma,Calero Dinarte,138338,,1
NCA,Stacy,Bradford Morales,138339,,1
NCA,Eliany,Lopez Manzano,138340,,1
NCA,Mariandree,Bonilla Ramirez,138341,,1
NCA,Amelia,Jaguarez Martinez,138342,,1
NCA,Carmen,Chamorro Avilez,138343,,1
NCA,Lauren Alejandra,Lopez Laguna,138344,,1
NCA,Gabriela,Martiinez Lopez,138345,,1
NCA,Mariela,Garcia Gonzalez,138346,,1
NCA,Flor ,Gutierrez Selva,138347,,1
NCA,Amelia,Juarez Martinez,138348,,1
SLO,Ana,Skarlovnik Petric,138349,,1
ESP,Sara,Doolittle Llanos,138351,,1
ROU,Alexandra Beatrice,Branisteanu,138352,,1
CRC,Patricia,Gonzalez Rodriguez,138353,,1
PER,Maria Sofia,Moreno,138354,,1
ESA,Cristian,Vargas  Aguirre,138355,,0
ESA,Gloria Mercedes  ,Polio Cruz,138356,,1
ESA,Stefany  Alexandra  ,Sosa   Rivera  ,138357,,1
ESA,Roxana   Nohemy ,Avalos   Henriquez,138358,,1
ESA,Sofia  Maribel ,Campos   Munguia ,138359,,1
ESA,Sara  Elizabeth ,Panameño  Calderon  ,138360,,1
ESA,Karla  Nohemy ,Cruz  Gonzales,138361,,1
ESA,Fatima   Michelle  ,Rodriguez Sibrian,138362,,1
ESA,Monica  Beatriz  ,Morales  Masa ,138363,,1
ESA,Andrea  Nicole  ,Saenz Molina  ,138364,,1
ESA,Jennyfer Andrea ,Romero  Berrios  ,138365,,1
ESA,Daniela  Nayibe  ,Chedraui Zaldaña ,138366,,1
ESA,Claudia  Alejandra  ,Garcia  Garcia  ,138367,,1
ESA,Haydee Maria ,Alfaro  Novoa  ,138368,,1
ESA,Rubia René,Cruz Romero,138369,,1
RUS,Vera,Salikova,138370,,1
DMA,Laureen Laurencia,Lockhart,138371,,1
ANT,Nadege,Augustin,138372,,1
GRN,Sherin Janella,Stanislaus,138374,,1
GRN,Debbie-Ann,Lewis,138375,,1
TTO,Ayana,Dyette,138376,,1
TTO,Elki,Phillip,138377,,1
TTO,Pauline,Woodroffe,138378,,1
TTO,Fabien,Whitfield,138379,,0
SKN,Andrea,Liburd,138380,,1
TTO,Simon,Blake,138381,,0
BRA,Caio Abrahao,Maluf,138382,,0
JAM,Cherine,Richardson,138383,,1
BIZ,Leandra,Betson,138384,,1
BAR,Shari,Matthews,138390,,1
BRA,Felipe Airton,Bandero,138393,,0
ANT,Teera,Charles,138394,,1
ANT,Rawle,Lee,138396,,0
GUA,Annelisse,Rodriguez Motta,138402,,1
GUA,Estefanie,Bethancourth Guerra,138403,,1
ITA,Teresa,Morganti,138404,,1
CAY,Cristin,Alexander,138405,,1
CAY,Melissa,Burrowes,138406,,1
CAY,Stefania,Gandolfi,138407,,1
CAY,Phillippe,Deslandes,138409,,0
CAY,Richard,Campbell,138410,,0
ITA,Daniele,Panigalli,138413,,0
GER,Richard,Schaugg,138414,,0
BRA,Ricardo Arozio,Faccin,138415,,0
PAN,Gilberto,Martinez,138418,,0
COL,Carlos,Mosquera,138420,,0
RUS,Alexander,Kullo,138421,,0
QAT,Albalushi,Hassan,138422,,0
QAT,Alsheriqi ,Abdullah,138423,,0
QAT,Alhousni ,Surur,138424,,0
UAE,Khalid ,Hamza,138425,,0
UAE,Salem ,Mohammad,138426,,0
UAE,Hassan,Ahmed ,138427,,0
UAE,Obaid,Abdalla,138429,,0
TUR,Sakip,Karali,138430,,0
ITA,Fabrizio,Andreatta,138432,,0
TUN,Mohamed Jamel,Miladi,138433,,0
TUN,Wassim,Toueiti,138434,,0
GUM,Meagan,Crisostomo,138435,,1
GUM,Kristi,Hammond,138436,,1
GUM,Chris,Shepherd,138437,,0
GUM,Joshua,Cruz,138438,,0
GUM,David,Rillera Jr.,138439,,0
GUM,Jimmy,Boonprakon,138440,,0
USA,Drew,Manusharow,138441,,0
CUR,Kionna,Gregorius,138442,,1
CUR,Cristal,Gregorius,138443,,1
CUR,Samira,Luis,138444,,1
CUR,Christine,Anthony,138445,,1
CAN,Jessica,Tkachuk,138446,,1
VAN,Sepa,George,138447,,0
VAN,Leeslyn,Ler,138448,,1
CRO,Irina,Kirillova,138449,,1
CHI,Jeanette,Pavez,138450,,1
SAM,Afa,Lauvai,138451,,0
SAM,Toetu,Toetu,138452,,0
SAM,Sapati ,Aiono,138453,,0
SAM,Oliva,Uati,138454,,0
SAM,Leule ,Tu'ugamusu,138455,,1
SAM,Vaitu'utu'u ,Taua,138456,,1
SAM,Uluiva ,Fouvaa,138457,,1
SAM,Jackie ,Nuuvali,138458,,1
TGA,Samuela ,Fotu,138459,,0
TGA,Tevila,Fotu,138460,,0
TGA,Esafe ,Latu,138461,,0
TGA,Middlemore ,Fotu,138462,,1
TGA,Mele ,Fifita,138463,,1
TGA,Latai ,Vaka,138464,,1
TGA,Sisifa ,Taufa,138465,,1
BRA,Rossana,Barroso de Sousa,138466,,1
USA,Ashley,Beyer,138467,,1
CRO,Irina,Kirillova,138468,,1
BUL,Marina,Kovacheva,138469,,1
USA,Kailee,May,138470,,1
ROU,Rafaela,Costea,138471,,1
SLO,Peter,Bedrac,138472,,0
AUT,Roman,Maier,138473,,0
MNE,Adrijana,Atanasov,138474,,1
ESP,Irene,Camara Valero,138475,,1
UKR,Iryna,Brezgun,138477,,1
BUL,Ivelina,Petkova,138478,,1
BUL,Georgi,Manchev,138479,,0
SRB,Sofija,Medic,138480,,1
SEN,Mame Fatou,Diouf,138481,,1
BRA,Guilherme,Ferreira da Silva,138482,,0
VEN,Kird Enrique,Perez Pucutivo,138483,,0
IND,Govindaraju,Prabhakaran,138484,,0
IND,Somasundaran,Balaganesh,138485,,0
UKR,Sergiy,Dyakov,138486,,0
BEL,Cecile,Casin,138487,,1
SLO,Vasja,Samec,138488,,0
POL,Anna,Byrska,138489,,1
IND,Rajasekar,Ragana,138490,,1
IND,Prakasam,Premavathi,138491,,1
GRE,Michail,Sarikeisoglou,138492,,0
BRA,Juliana,Pallamin de Almeida,138493,,1
MDV,Agila,Hamid,138494,,1
MDV,Fathimath ,Zeeniya Moosa,138495,,1
MDV,Hawwa,Rashidha,138496,,1
MDV,Yumna,Abdul Azeez,138497,,1
NED,Ruben Peter,de Boer,138498,,0
NED,Elmar,Heupers,138499,,0
BLR,Yauheni,Vasilchuk,138500,,0
BRA,Arianne,de Carvalho Tolentino,138501,,1
USA,Brittney,Brimmage,138502,,1
LAT,Gvido,Einbergs,138503,,0
MDV,Mariyam ,Azeefa,138504,,1
ENG,Matthew,Howe,138505,,0
SRB,Marko,Maksimovic,138506,,0
ESP,Daniela,Marin del Moral,138507,,1
POL,Marcin,Kurek,138508,,0
ITA,Carlo,Cortesi,138509,,0
USA,Corina,Beyer,138510,,1
USA,Caitlyn,Vann,138511,,1
USA,Meagan,Ganzer,138512,,1
LTU,Neringa,Grikstaite,138513,,1
USA,Kristy Lynn,Schmieder,138514,,1
MRI,Sophie,Michael Gino,138515,,0
MRI,Sophie,Michael Gino,138516,,0
FRA,Jonathan,Ciccione,138517,,0
SRB,Bosko,Novovic,138518,,0
KEN,Bernard,Oselu,138519,,0
USA,Megan,Schipper,138520,,1
USA,Briana,McCarthy,138521,,1
USA,Chelsea,Fowles,138522,,1
USA,Ashley,Benson,138523,,1
USA,Kelly,Fidero,138524,,1
MKD,Atanas,Milev,138525,,0
MDV,Mariyam ,Azeefa,138526,,1
MDV,Haleemath,Sama,138527,,1
POL,Agata,Talisz,138528,,1
ITA,Veronica,Angeloni,138529,,1
COL,Ruben Dario,Monroy,138530,,0
USA,Kayleigh,Giddens,138531,,1
USA,Brooke,Delano,138532,,1
TUR,Ali Alp,Cayir,138533,,0
USA,Sarah,Roberts,138534,,1
SRI,Nirosha Lakmini,Gunasinghe,138535,,1
SRB,Jelena,Simic,138536,,1
LAT,Maksims,Rostovcevs,138537,,0
BRA,Fabio,Hoster,138538,,0
BRA,Sebastião Aparecido,Da Cruz,138539,,0
ITA,Andrea,Vatovac,138541,,0
SRB,Nikola,Kerkez,138542,,0
