code,name,start_date,end_date,no,version
BVB-FUZ2016,Fuzhou Open 2016,2016-04-19,2016-04-24,313,6797.0
BVB-XIA2016,Xiamen Open 2016,2016-04-12,2016-04-17,314,6789.0
BVB-MOS2016,Moscow Grand Slam 2016,2016-05-24,2016-05-29,315,6947.0
BVB-LOB2016,Long Beach Grand Slam 2016,2016-08-24,2016-08-28,316,7153.0
BVB-POR2016,Porec Major 2016,2016-06-28,2016-07-03,317,7075.0
BVB-KLA2016,A1 Major Klagenfurt,2016-07-26,2016-07-31,318,7125.0
BVB-FOR2016,Fortaleza Open 2016,2016-04-26,2016-05-01,319,6851.0
BVB-WCCOQ16,FIVB World Continental Cup Olympic Qualification 2016,2016-07-06,2016-07-10,320,7104.0
BVB-ANT2016,Antalya Open,2016-05-10,2016-05-15,321,6877.0
BVB-SOC2016,Sochi Open presented by VTB,2016-05-03,2016-05-08,322,6866.0
BVB-PUE2016,Puerto Vallarta Open,2016-10-11,2016-10-16,324,7145.0
BVB-POL2016,Olsztyn Grand Slam,2016-06-14,2016-06-19,325,7052.0
BVB-GST2016,Gstaad Major,2016-07-05,2016-07-10,326,7106.0
BVB-U212016,"Under 21 World Championships Lucerne, Switzerland 2016",2016-05-11,2016-05-16,327,7147.0
BVB-U172016,"Under 17 World Championships Cabo Frio, Brazil 2016",2016-07-13,2016-07-17,328,6469.0
BVB-U192016,"Under 19 World Championships Larnaka, Cyprus 2016",2016-07-27,2016-07-31,329,7126.0
BVB-HAM2016,smart Major Hamburg,2016-06-07,2016-06-12,339,6988.0
BVB-CIN2016,Cincinnati Open,2016-05-17,2016-05-21,340,6941.0
BVB-TEST,Beach Volleyball Test tournament,2022-07-01,2022-07-12,343,13847.0
BVB-CEV-BIE2016,2016 CEV Beach Volleyball ECH Final,2016-06-01,2016-06-05,409,6959.0
BVB-CEV-VIL2016,2016 CEV Beach Volleyball Satellite Vilnius,2016-06-09,2016-06-12,411,1.0
BVB-CEV-BAD2016,2016 CEV Beach Volleyball Satellite Baden,2016-06-09,2016-06-12,412,1.0
BVB-CEV-CCFINAL,2016 CEV Beach Volleyball Continental Cup Final,2016-06-22,2016-06-26,413,7051.0
BVB-CEV-TIM2016,2016 CEV Beach Volleyball Satellite Timisaora,2016-07-05,2016-07-10,415,7113.0
WUC2016,2016 WUC Beach Volleyball,2016-07-13,2016-07-17,416,1.0
BVB-SSF2016,Swatch FIVB World Tour Finals 2016,2016-09-13,2016-09-18,417,7178.0
BVB-CEV-VAD2016,2016 CEV Beach Volleyball Satellite Vaduz,2016-07-20,2016-07-24,418,1.0
BVB-CEV-KIS2016,2016 CEV Beach Volleyball Satellite Kisakallio,2016-08-25,2016-08-28,419,1.0
BVB-CEV-JUR2016,2016 CEV Beach Volleyball European Championship Jurmala Masters,2016-08-31,2016-09-04,420,7169.0
BVB-FTL2017,Fort Lauderdale Major,2017-02-07,2017-02-12,429,8271.0
BVB-KIS2017,Kish Island,2017-02-15,2017-02-18,432,8201.0
BVB-SYD2017,Sydney,2017-03-17,2017-03-19,433,7686.0
BVB-RIO2017,Rio de Janeiro,2017-05-17,2017-05-21,434,8371.0
BVB-LAN2017,Langkawi,2017-04-15,2017-04-16,435,7688.0
BVB-XIA2017,Xiamen,2017-04-20,2017-04-23,436,7725.0
BVB-FUZ2017,Fuzhou,2017-04-27,2017-04-30,437,1.0
BVB-PRA2017,Prague,2017-05-11,2017-05-14,438,7237.0
BVB-LUC2017,Lucerne,2017-05-23,2017-05-28,439,7828.0
BVB-NAN2017,Nanjing U21,2017-07-11,2017-07-16,440,8980.0
BVB-POR2017,Porec Major,2017-06-27,2017-07-02,441,8013.0
BVB-ULS2017,Ulsan,2017-07-20,2017-07-22,442,8059.0
BVB-POL2017,Olsztyn,2017-07-19,2017-07-23,443,8067.0
BVB-VIE2017,Vienna,2017-07-28,2017-08-06,444,8094.0
BVB-FIJ2017,Pacific Harbour,2017-06-23,2017-06-24,445,7375.0
BVB-MON2017,Monaco,2017-06-17,2017-06-18,446,8115.0
BVB-MOS2017,Moscow,2017-05-31,2017-06-05,447,8026.0
BVB-DAE2017,Daegu,2017-07-14,2017-07-16,448,8055.0
BVB-AGA2017,Agadir,2017-07-21,2017-07-23,449,8082.0
BVB-ESP2017,Espinho,2017-07-27,2017-07-30,450,8091.0
BVB-HAM2017,Hamburg,2017-08-08,2017-08-13,451,8098.0
BVB-SHE2017,Shepparton,2017-03-04,2017-03-05,452,8343.0
BVB-ROM2017,Rome,2017-06-06,2017-06-11,453,7425.0
BVB-GST2017,Gstaad,2017-07-04,2017-07-09,454,8371.0
BVB-QIN2017,Qinzhou,2017-10-11,2017-10-15,455,8229.0
BVB-HAG2017,The Hague,2017-06-15,2017-06-18,456,8140.0
BVB-TAN2017,"Jiangning, Nanjing",2017-06-16,2017-06-18,457,7956.0
BVB-NAT2017,Nantong,2017-06-23,2017-06-25,458,7988.0
BVB-PHU2017,Phuket,2017-10-19,2017-10-22,461,8086.0
BVB-SSF2017,Swatch FIVB World Tour Finals 2017,2017-08-22,2017-08-27,528,8132.0
BVB-CEV-GOT2017,2017 CEV Beach Volleyball Satellite Göteborg,2017-04-13,2017-04-16,538,7719.0
BVB-CEV-BAD2017,2017 CEV Beach Volleyball Baden Masters,2017-06-21,2017-06-25,541,7985.0
BVB-MOP2017,Montpellier,2017-09-08,2017-09-09,544,8200.0
BVB-CEV-ALA2017,Alanya,2017-07-13,2017-07-16,545,8049.0
BVB-CEV-LJU2017,CEV Masters / Satellite - Ljubljana,2017-07-19,2017-07-23,546,8077.0
CEV-BVB-EC-FINAL,2017 CEV Beach Volleyball European Championship Final,2017-08-16,2017-08-20,551,8104.0
BVB-AAL2017,Aalsmeer,2017-10-25,2017-10-29,552,8421.0
BVB-MAN2017,Sydney,2017-11-22,2017-11-26,553,8319.0
CEV-KAZ2017,CEV U18 ECH - Kazan,2017-08-23,2017-08-27,554,0.0
CEV-U202017,CEV U20 ECH - Vulcano,2017-09-07,2017-09-10,555,0.0
BVB-HAG2018,The Hague,2018-01-03,2018-01-07,560,9732.0
BVB-SHE2018,Shepparton,2018-02-01,2018-02-04,561,8616.0
