name,no
Banck/Günther,779077
Holtwick/Semmler,779078
Campisi/Hopf,779079
Syrtseva/Moiseeva,779080
Talita/Maria Antonelli,779081
Larissa/Juliana,779082
Maria Clara/Carol,779083
Angela/Lili,779084
Wang/Y.Y. Ma,779085
Y. Huang/Yue,779086
Xue/Zhang Xi,779087
Schwaiger D./Schwaiger St.,779088
Sowala/Urban,779089
"Fabjan/Fabjan, S.",779090
May/Whitaker,779091
Lessard/Martin,779092
Hansel B./Montagnolli,779093
Kadijk R./Mooren,779094
Wojtasik/Brzostek,779095
Bansley/Maloney,779096
Rodrigue/MacTavish,779097
Pata/Matauatu,779098
Candelas/Garcia,779099
Köhler/Sude,779100
Roubanis/Papageorgiou,779101
Nilsson/Hansson,779102
Tanaka/Mizoe,779103
Kolocova/Slukova,779104
Hüttermann/Schumacher,779105
Johns/Boulton,779106
Mullin/Dampney,779107
Urata/Take,779108
Kuhn/Zumkehr,779109
Nyström Em./Nyström Er.,779110
Arvaniti/Tsiartsiani,779111
Van der Hoeven/van der Vlist,779112
Gioria/Momoli,779113
Cook/West,779114
Wesselink/Meppelink,779115
Keizer/van Iersel,779116
Tcholakova/Todorova,779117
Hinchley/Rohkamper,779118
Niemc/Bednarek,779119
Saka/Rtvelo,779120
Baburina/Aghakishiyeva,779121
Baburina/Aghakishiyeva,779126
"Makhno, In./Makhno, Ir.",779128
"Makhno, In./Makhno, Ir.",779129
Murat G./Gögtepe H.,779132
Murat G./Gögtepe H.,779133
Murat G./Gögtepe H.,779134
Sekerci/Gögtepe V.,779137
Sekerci/Gögtepe V.,779138
Sekerci/Gögtepe V.,779139
Klemperer/Koreng,779333
Koreng/Klemperer,779334
"Dollinger, S./Windscheif",779335
Graessli/Goricanec,779337
Graessli/Goricanec,779338
Graessli/Goricanec,779339
Graessli/Goricanec,779342
Graessli/Goricanec,779343
Forrer/Vergé-Dépré A.,779534
Forrer/Vergé-Dépré A.,779535
Forrer/Vergé-Dépré A.,779536
Forrer/Vergé-Dépré A.,779537
Forrer/Vergé-Dépré A.,779538
Forrer/Vergé-Dépré A.,779539
Forrer/Vergé-Dépré A.,779540
Forrer/Vergé-Dépré A.,779541
Vorlova/Vojtiskova,779639
Beyeler/Fölmli,779640
"Sutter, A./Sutter, R.",779642
"Kovatsch/Kissling, J.",779643
"Kovatsch/Kissling, J.",779645
Dinova/Angelova,779646
Babich/Ioisher,779651
Ostapenko/Mykhaylov,779652
Baranov/Popovych,779654
Kotsilianos/Zoupanis,779655
Kotsilianos/Zoupanis,779656
Dyachenko/Sidorenko,782327
Yakovlev/Kuleshov,782328
Mashkova/Tsimbalova,782329
Kaszas O./Kaszas S.,782791
Bogatu/Samalikova,782969
O.Pilipenko/Yeleferenko,782970
Minusa/Jursone,783343
Minusa/Jursone,783344
Plavins/Smedins,783345
Samoilovs/Sorokins,783346
Bieneck/Großner,783347
Hüttermann/Schumacher,783348
Alexandre/Neto,783349
Renata/Lese Lima,783356
Renata/Lese Lima,783357
Renata/Lese Lima,783359
Renata/Lese Lima,783360
Renata/Lese Lima,783365
Renata/Lese Lima,783366
Hupfer/Moser H.,786887
Bieneck/Großner,787148
Aulenbrock/Laboureur,787150
Gernert/Walkenhorst,787773
Pastukhov/Likholetov,787856
Prokopiev/Bogatov,787857
Koshkarev/Semenov,787858
Dugrip/Salvetti,787953
Dugrip/Salvetti,787954
Dugrip/Salvetti,787956
Dugrip/Salvetti,787957
Dugrip/Salvetti,787958
Dugrip/Salvetti,787960
Dugrip/Salvetti,787961
Niemc/Bednarek,788058
Gernert/Walkenhorst,788141
Gernert/Walkenhorst,788142
Ludwig/Goller,788238
Nilsson/Hansson,788240
Babich/Ioisher,788241
Gordieiev/Iemelianchyk,788242
Mykhaylov/Ostapenko,788243
Böckermann/Urbatzka,791513
Kongshavn/Aas,791514
Lesines/Malessy,791515
Menegatti/Cicolari,792010
Giombini/Rosso,792011
Giombini/Ferretti,792012
Williams/Hermannova,792354
Williams/Hermannova,792355
Babich/Ioisher,792356
Ostapenko/Mykhaylov,792357
Birlova/Ukolova,792359
Barsuk/Vozakova,792360
Vozakova/Syrtseva,792361
Tomatis/Cicola,792362
Ribera/Antequera,794755
Ribera/Antequera,794756
Ribera/Antequera,794757
Ribera/Antequera,794758
Ribera/Antequera,794760
Gordieiev/Iemelianchyk,794855
Abreu/Silva,794856
Abreu/Silva,794857
Abreu/Silva,794859
Abreu/Silva,794860
Hoidalen/Eithun,795647
Doppler/Mellitzer M.,795648
Nakaya/Hidaka,795649
Casadei/Ficosecco,795650
Hatch/Schachter,795651
Klemperer/Koreng,795652
Barsuk/Marishev,795653
Sheaf/Sheaf,795654
Miedzybrodzki/Lord,795655
Y. Li/HONG Jiajun,795656
Li Zhuoxin/Zhang Lizeng,795657
Gibb/Rosenthal,795658
Scott/Hyden,795659
Rogers/Dalhausser,795660
Patterson/Keenan,795661
Jennings/Wong,795662
Fuerbringer/Lucena,795663
Müllner/Horst,795664
Zharykau/Dziadkou,795665
Kuleshov/Yakovlev,795666
Maia/Rosas,795667
"Dollinger, S./Windscheif",795668
"O'Dea, E./Heath",795669
Konilkos/Shulyak,795670
Babichev/Pilipyuk,795671
Álvaro Filho/Vitor Felipe,795672
Weaver/Gooding,795673
Garcia-Thompson/Grotowski,795674
Apostolou/Efstathiou,795675
Sidorenko/Dyachenko,795676
Murat G./Gögtepe H.,795677
Sekerci/Gögtepe V.,795678
Fañe/Hernandez Colina,795679
"Huber, A./Seidl, R.",795680
Semenov/Prokopiev,795681
Pastukhov/Bogatov,795682
Liu Yong/Jiang Z.F.,795683
Zauli/Cavaliere,795684
Lu/Jiang Z.F.,795685
"O'Dea, S./O'Dea B.",795686
Likholetov/Koshkarev,795687
Kadziola/Szalankiewicz,795688
Daianov/Belov,795689
Böckermann/Urbatzka,795690
Brink/Reckermann,795691
Kaczmarek/Walkenhorst,795692
Verschueren/Frankart,795693
Xu/Wu,795694
Cunha/Pedro Solberg,795695
Marcio Araujo/Ricardo,795696
Skarlund/Spinnangr,795697
Thiago/Harley,795698
Fijalek/Prudel,795699
Mesa/Lario,795700
Herrera/Gavira,795701
Li Lei/B. Liu,795702
P. Gao/CH. Chen,795703
Coucke/van Walle,795704
Fabio Luiz/Maciel,795705
Emanuel/Alison,795706
Bruno Schmidt/Benjamin,795707
Binstock/Van Huizen,795708
Reader/Schalk,795709
Redmann/Saxton,795710
Shiratori/Imai,795711
Gunnarsson/Brinkborg,795712
Samoilovs/Sorokins,795713
Horrem/Hordvik,795714
Asahi/Aoki,795715
Xenakis/Billiris,795716
Erdmann/Matysik,795717
Hasegawa/Inoue,795718
Cès A./Cès K.,795719
Varenhorst/Stiekema,795720
Brouwer/Meeuwsen,795721
Nummerdor/Schuil,795722
Boersma E./Spijkers,795723
Heyer/Chevallier,795724
Gabathuler/Schnider,795725
Heuscher/Bellaguarda,795726
Dumek/Tichy,795727
Plavins/Smedins,795728
Lochhead/Pitman,795729
Jensen/Nestor,795730
Ramos/Castro,795731
Henriquez/Mussa,795732
Boehm/Kapa,795733
McHugh/Slack,795734
Vesik/Jaani,795735
Hupfer/Moser H.,795736
Geor/Gia,795737
Leeb/Wutzl,795738
Zanotta/Serron,795739
Kotsilianos/Zoupanis,795740
Acevedo/Santiago,796318
Shun Thing/Teck Hua,796319
Moiseeva/Syrtseva,796320
Jin J.Q./Miao C.C.,796321
HOU Xijun/D. Zhang,796322
Hunkus/Lowe,796323
May-Treanor/Walsh Jennings,796324
Kessy/April,796325
Ivy/Rutledge,796326
Hochevar/Fopma,796327
Fendrick/Niles,796328
Akers/Branagh,796329
Marie/Kelly,796330
Komada/Urata,796331
Ukolova/Barsuk,796332
Ryabova/Ushkova,796333
Liliana/Elsa,796334
O.Pilipenko/Bogatu,796335
Varassova/Shabalina,796336
Samalikova/M.Pilipenko,796337
Longuet/Larche,796338
Birlova/Vozakova,796339
Ozaki/Kusano,796340
Maaseide/Ingrid,796341
Giombini/Ferretti,796342
Cella/Rosso,796343
Cicolari/Menegatti,796344
Giaoui/Benhamou,796345
Vodeb/Jakob,796346
Menon/Scardigno,796347
Tsimbalova/Mashkova,796348
Bawden/Palmer,796349
Goller/Ludwig,796350
Brink-Abeler/Hübner-Grün,796351
Borger/Büthe,796352
Banck/Günther,796353
Holtwick/Semmler,796354
Campisi/Hopf,796355
Talita/Maria Antonelli,796356
Larissa/Juliana,796357
Maria Clara/Carol,796358
Angela/Lili,796359
Wang/Y.Y. Ma,796360
Y. Huang/Yue,796361
Xue/Zhang Xi,796362
Schwaiger D./Schwaiger St.,796363
Renata/Ana Paula,796364
Sowala/Urban,796365
"Fabjan/Fabjan, S.",796366
May/Whitaker,796367
Lessard/Martin,796368
Hansel B./Montagnolli,796369
Kadijk R./Mooren,796370
Wojtasik/Brzostek,796371
Bansley/Maloney,796372
Rodrigue/MacTavish,796373
Pata/Matauatu,796374
Candelas/Garcia,796375
Köhler/Sude,796376
Roubanis/Papageorgiou,796377
Nilsson/Hansson,796378
Kongshavn/Aas,796379
Tanaka/Mizoe,796380
Kolocova/Slukova,796381
Hüttermann/Schumacher,796382
Johns/Boulton,796383
Mullin/Dampney,796384
Urata/Take,796385
Kuhn/Zumkehr,796386
Nyström Em./Nyström Er.,796387
Arvaniti/Tsiartsiani,796388
Van der Hoeven/van der Vlist,796389
Skalnikova/Hajeckova,796390
Gioria/Momoli,796391
Cook/West,796392
Wesselink/Meppelink,796393
Keizer/van Iersel,796394
Tcholakova/Todorova,796395
Hinchley/Rohkamper,796396
Niemc/Bednarek,796397
Saka/Rtvelo,796398
Baburina/Aghakishiyeva,796399
Xue/Zhang Xi,796400
Xue/Zhang Xi,796401
Xue/Zhang Xi,796402
Xue/Zhang Xi,796403
Xue/Zhang Xi,796404
Xue/Zhang Xi,796405
Xue/Zhang Xi,796407
Xue/Zhang Xi,796408
Y. Huang/Yue,796409
Y. Huang/Yue,796410
Y. Huang/Yue,796411
Y. Huang/Yue,796412
Y. Huang/Yue,796413
Y. Huang/Yue,796414
Y. Huang/Yue,796415
Y. Huang/Yue,796416
Y. Huang/Yue,796418
Wang/Y.Y. Ma,796419
Wang/Y.Y. Ma,796420
Wang/Y.Y. Ma,796421
Wang/Y.Y. Ma,796422
Wang/Y.Y. Ma,796423
Zhang C.N./Y.Y. Ma,796424
Wang/Y.Y. Ma,796425
Wang/Y.Y. Ma,796427
Wang/Y.Y. Ma,796428
Xu/Wu,796429
Xu/Wu,796431
Xu/Wu,796432
Xu/Wu,796433
Xu/Wu,796434
Xu/Wu,796435
P. Gao/CH. Chen,796437
P. Gao/CH. Chen,796438
P. Gao/CH. Chen,796440
P. Gao/CH. Chen,796441
P. Gao/CH. Chen,796442
P. Gao/CH. Chen,796443
P. Gao/CH. Chen,796444
P. Gao/CH. Chen,796445
P. Gao/CH. Chen,796446
Zhang C.N./LIN Lingling,796447
Smedins T./Caics,796449
Smedins T./Caics,796450
Smedins T./Caics,796453
Driessen/Boerhave,796454
Eritsland/Treland,796455
Berget/Hansen,796456
Borge Johansen/Berntsen R.,796457
Retterholt/Bergheim,796458
Kovatsch/Beyeler,796460
Michelle Carvalho/Soares,796462
Vorlova/Rehackova,796464
Vismans S./van Laanen,796466
Hupfer/Moser H.,796467
Rimser/Errath,796469
Neshev/Dimov,796475
Neshev/Dimov,796476
Neshev/Dimov,796477
Neshev/Dimov,796478
Neshev/Dimov,796480
Neshev/Dimov,796481
Keizer/van Iersel,796482
Keizer/van Iersel,796483
Keizer/van Iersel,796484
Keizer/van Iersel,796485
Keizer/van Iersel,796486
Keizer/van Iersel,796487
Wesselink/Meppelink,796488
Wesselink/Meppelink,796490
Wesselink/Meppelink,796491
van Gestel/Meppelink,796492
Wesselink/Meppelink,796493
Konstantinou/Angelopoulou,796499
Konstantinou/Angelopoulou,796500
Goricanec/Graessli,796501
Jakob/Vodeb,796504
Komada/Urata,796513
"Dollinger, A./Stiel",796514
"Huber, A./Seidl, R.",796518
"Huber, A./Seidl, R.",796519
"Fabjan/Fabjan, S.",796526
"Fabjan/Fabjan, S.",796527
"Fabjan/Fabjan, S.",796528
"Fabjan/Fabjan, S.",796529
"Fabjan/Fabjan, S.",796530
Bozinoski/Krizmanich,796533
Voth/Broder,796536
Oude Elferink/Paulides,796540
Oude Elferink/Paulides,796543
Oude Elferink/Paulides,796544
Oude Elferink/van Zwieten,796545
Oude Elferink/Paulides,796546
Oude Elferink/Paulides,796548
Oude Elferink/Paulides,796549
Oude Elferink/Paulides,796550
Oude Elferink/Daalmeijer,796552
Culav/Schillerwein,796553
Bakumovski/Rohde,796556
Bakumovski/Rohde,796557
Bakumovski/Rohde,796558
Simon/García Gonzalo,796561
Simon/García Gonzalo,796562
Simon/García Gonzalo,796563
Simon/García Gonzalo,796564
Stiekema/Braakman,796566
Stiekema/Braakman,796568
Tsimbalova/Mashkova,796572
Gagliano/Lacombe,796575
Gagliano/Lacombe,796578
Porcellini/Oligeri,796579
Porcellini/Oligeri,796580
Porcellini/Oligeri,796581
Porcellini/Oligeri,796582
Porcellini/Oligeri,796584
Porcellini/Oligeri,796585
Tcholakova/Todorova,796596
Tcholakova/Todorova,796597
Bloem/Kloek,796602
Daalmeijer/Spil,796604
Kaneda/Murakami,796606
Asao/Matsuyama,796607
Bawden/Palmer,796608
Kosiak/Kaczmarek,796609
Kociolek/Baran,796610
Borger/Büthe,796613
Rudol/Pelka,796628
Kedzior/Stasiak,796629
Culav/Schillerwein,796630
Wennberg/Skjelbred,796631
Takvam/Sannarnes,796632
Torjusen/Eikeland Andersen,796633
Urban/Sowala,796634
Urban/Sowala,796635
Wojtasik/Brzostek,796636
Wojtasik/Brzostek,796637
Fijalek/Prudel,796638
Kadziola/Szalankiewicz,796639
McGuire/Day,796640
Moriarty/Copenhagen,796641
Orlov/Tsykunov,796882
Bogatu/Pustynnikov,796883
Akers/Branagh,798721
Dinova/Angelova,798722
Cizmazia/Bilik,799247
Alanko/Niemi,799248
Usken/Holstad,801331
Strømsvåg/Kvamsdal,801332
Kjemperud/Hellum,801333
Kronstad/Aubry,801334
Wergeland/Holtan,801335
Bratuhhina N./Bratuhhina P.,802035
Nilsson/Hansson,802308
Nilsson/Hansson,802309
Nilsson/Hansson,802310
Nilsson/Hansson,802312
Nilsson/Hansson,802313
Nilsson/Hansson,802315
Nilsson/Hansson,802316
Nilsson/Hansson,802317
Nilsson/Hansson,802318
Nilsson/Hansson,802319
Raev/Hadzhiev,802689
Vergé-Dépré A./Forrer,804791
"Sutter, A./Sutter, R.",805355
Seppänen/Siirilä,806094
Nusbaum/O'Gorman,811804
Pridalova N./Nestarcova,811805
LEE Eun-a/RYU Eun-hye,814080
JUNG Ji-youn/MOON Seul-ki,814081
Dabizha/Sorokina,814082
Ulveseth/Hjembo,814083
Pedersen/Bomvik,814919
Leite/Tomter,814920
Larsen/Solhaug,814921
Graessli/Kayser,815019
Simon/García Gonzalo,815583
Simon/García Gonzalo,815584
Simon/García Gonzalo,815585
Simon/García Gonzalo,815586
Simon/García Gonzalo,815587
Khmaladze/Lesunenko,818618
Artemchuk/Levchenko,818619
Kawaguchi/MacLeod,818620
Demyanenko/Kocur,818621
Ancsin/Lakatos,818622
Roubanis/Papageorgiou,818624
Kirienko/Andrianov,818625
Billiris/Xenakis,819371
Kotsilianos/Zoupanis,819372
Banck/Günther,819839
"Kufa, D./Lenc",821084
Ukolova/Birlova,821320
Barsuk/Ryabova,821321
Vozakova/Syrtseva,821322
Kongshavn/Aas,821966
Kongshavn/Aas,821967
Brulec/Turk,822628
Dörfler/Gschöpf,823037
Dyachuk/Poltoranina,825893
Sidorenko/Kuzmin,825894
Bolgov/Kucherenko,825895
Bykanov/Andrianov,825896
Vodenkova/Missottenova,825994
Finger/Trojan,825995
Broder/Voth,826093
Ribera/Antequera,826094
Sajmovicova/Michalovicova,826095
Bratuhhina N./Bratuhhina P.,826096
Minusa/Jursone,826097
Vozakova/Syrtseva,826098
Li Yuk Lo/Rigobert,826099
Williams/Hermannova,826100
Elblova/Stastna,826101
Wawrzynczyk/Kozinska,826102
Taiana Lima/Cunha,826103
Birlova/Ukolova,826104
Ryabova/Barsuk,826105
Ukolova/Barsuk,826106
Pilarek/Gancarczyk,826107
Lili/Angela,826108
Teufl V./Klopf,826109
Kociolek/Baran,826110
Wiatr/Wardak,826111
Przybylak/Bekier,826112
Vorlova/Rehackova,826113
Samalikova/M.Pilipenko,826114
Ivy/Rutledge,826115
Akers/Branagh,826116
Giombini/Ferretti,826117
Giombini/Rosso,826118
Cicolari/Menegatti,826119
Eritsland/Treland,826120
Hochevar/Fopma,826121
Fendrick/Niles,826122
Kessy/April,826123
Hochevar/Walsh Jennings,826124
Rimser/Errath,826125
Pridalova N./Nestarcova,826126
Sinnema/Wiltens,826127
Santiago/Acevedo,826128
Oliveira/Tawhid,826129
Maaseide/Ingrid,826130
Komada/Urata,826131
Wesselink/Meppelink,826132
Keizer/van Iersel,826133
Novakova/Tobiasova,826134
Liliana/Matveeva,826135
Bansley/Maloney,826136
Lessard/Martin,826137
Rodrigue/MacTavish,826138
Ozaki/Kusano,826139
Bezerra/Elize Maia,826140
Giaoui/Benhamou,826141
Vodeb/Jakob,826142
Menon/Scardigno,826143
Tsimbalova/Mashkova,826144
Hiza/Orquidea,826145
Bawden/Palmer,826146
Cook/West,826147
Goller/Ludwig,826148
Wojtasik/Brzostek,826149
Urban/Sowala,826150
Brink-Abeler/Hübner-Grün,826151
Borger/Büthe,826152
Banck/Günther,826153
Holtwick/Semmler,826154
Campisi/Hopf,826155
Talita/Maria Antonelli,826156
Larissa/Juliana,826157
Maria Clara/Carol,826158
Wang/Y.Y. Ma,826159
Y. Huang/Yue,826160
Xue/Zhang Xi,826161
Schwaiger D./Schwaiger St.,826162
Renata/Lese Lima,826163
"Fabjan/Fabjan, S.",826164
Hansel B./Montagnolli,826165
Kloek/Mooren,826166
Candelas/Garcia,826167
Köhler/Sude,826168
Roubanis/Papageorgiou,826169
Nilsson/Hansson,826170
Kongshavn/Aas,826171
Tanaka/Mizoe,826172
Kolocova/Slukova,826173
Hüttermann/Schumacher,826174
Johns/Boulton,826175
Mullin/Dampney,826176
Urata/Take,826177
Kuhn/Zumkehr,826178
Nyström Em./Nyström Er.,826179
Arvaniti/Tsiartsiani,826180
Van der Hoeven/van der Vlist,826181
Skalnikova/Hajeckova,826182
Gielen/Mouha,826183
Gioria/Momoli,826184
Tcholakova/Todorova,826185
"Makhno, In./Makhno, Ir.",826186
Hinchley/Rohkamper,826187
Saka/Rtvelo,826188
Baburina/Aghakishiyeva,826189
Kollar/Kapusta,826326
Rucka/Kramar,826327
Sheaf/Sheaf,826328
Kollar/Mracko,826329
Namesansky/Majzel,826330
"Kufa, R./Rotrekl",826331
"Kufa, D./Weiss",826332
Provaznik/Hanak,826333
Tramblie/Morrison,826334
Tomatis/Cicola,826335
Lebl/Placek ,826336
Mourtzios/Niopas,826337
Aleksejev/Petrov,826338
Bakumovski/Rohde,826339
Takács/Kaszap,826340
Ingrosso P./Lupo,826341
Ingrosso P./Varnier,826342
Ingrosso M./Ingrosso P.,826343
Ranghieri/Ingrosso M.,826344
Ranghieri/Lupo,826345
Ranghieri/Varnier,826346
Nicolai/Varnier,826347
Nicolai/Lupo,826349
Galetin/Tatic,826350
Antonic/Maric,826351
Deroey/Urnaut,826352
Baranov/Popovych,826353
Fuerbringer/Lucena,826354
Pastukhov/Semenov,826355
Koshkarev/Bogatov,826356
Bogatov/Prokopiev,826357
Prokopiev/Semenov,826358
Likholetov/Pastukhov,826359
Pastukhov/Bogatov,826360
Koshkarev/Likholetov,826361
Koshkarev/Semenov,826362
Szternel/Wojtasik,826363
Pavlas/Svoboda,826364
Kantor/Łosiak,826365
Hromadko/Salava,826366
Finsters/Solovejs,826367
Kunert/Koraimann T.,826368
Yakovlev/Kuleshov,826369
Dyachenko/Sidorenko,826370
Scott/Hyden,826371
Gibb/Rosenthal,826372
Rogers/Dalhausser,826373
Jennings/Wong,826374
Benes P./Kubala,826375
Eglseer/Koraimann F.,826376
Doppler/Mellitzer M.,826377
Oude Elferink/Paulides,826378
Vardai/Lelea,826379
"Jonsson, P./Huitfeldt",826380
Hoidalen/Eithun,826381
Fernando/Bruno,826382
Pedrosa/Brizida,826383
Casadei/Ficosecco,826384
Klemperer/Koreng,826385
Romashkin/Hudyakov,826386
Barsuk/Yutvalin,826387
Miedzybrodzki/Lord,826388
Mykhaylov/Ostapenko,826389
Babich/Ioisher,826390
Müllner/Horst,826391
Zharykau/Dziadkou,826392
Gooding/Weaver,826393
Maia/Rosas,826394
"Dollinger, S./Windscheif",826395
Hatch/Schachter,826396
Redmann/Saxton,826397
Reader/Schalk,826398
Binstock/Van Huizen,826399
Santos/Ferramenta,826400
Álvaro Filho/Vitor Felipe,826401
Garcia-Thompson/Grotowski,826402
Apostolou/Efstathiou,826403
Murat G./Gögtepe H.,826404
Sekerci/Gögtepe V.,826405
Fañe/Hernandez Colina,826406
Zauli/Cavaliere,826407
Marco/García,826408
Kadziola/Szalankiewicz,826409
Daianov/Belov,826410
Böckermann/Urbatzka,826411
Brink/Reckermann,826412
Kaczmarek/Walkenhorst,826413
Verschueren/Frankart,826414
Xu/Wu,826415
Lipe/Franco,826416
Cunha/Pedro Solberg,826417
Marcio Araujo/Ricardo,826418
Skarlund/Spinnangr,826419
Thiago/Harley,826420
Fijalek/Prudel,826421
Mesa/Lario,826422
Herrera/Gavira,826423
P. Gao/CH. Chen,826424
Coucke/van Walle,826425
Fabio Luiz/Maciel,826426
Emanuel/Alison,826427
Bruno Schmidt/Benjamin,826428
Shiratori/Imai,826429
Gunnarsson/Brinkborg,826430
Kaszas O./Kaszas S.,826431
Samoilovs/Sorokins,826432
Horrem/Hordvik,826433
Asahi/Aoki,826434
Xenakis/Billiris,826435
Erdmann/Matysik,826436
Hasegawa/Inoue,826437
Cès A./Cès K.,826438
Varenhorst/Stiekema,826439
Brouwer/Meeuwsen,826440
Nummerdor/Schuil,826441
Boersma E./Spijkers,826442
Laciga M./Weingart,826443
Heyer/Chevallier,826444
Gabathuler/Schnider,826445
Heuscher/Bellaguarda,826446
Dumek/Tichy,826447
"Huber, A./Seidl, R.",826448
Plavins/Smedins,826449
Jensen/Nestor,826450
Ramos/Castro,826451
Henriquez/Mussa,826452
Boehm/Kapa,826453
McHugh/Slack,826454
Vesik/Jaani,826455
Hupfer/Moser H.,826456
Geor/Gia,826457
Leeb/Wutzl,826458
Zanotta/Serron,826459
Kotsilianos/Zoupanis,826460
"Soderberg/Hoyer, A.",826461
Lehtonen/Nyström Er.,826467
Hüttermann/Schumacher,826473
Hüttermann/Schumacher,826474
Bakumovski/Rohde,826476
Dumbauskaite/Paulikiene,826477
Sinnema/Wiltens,826480
Dumek/Tichy,826481
Dumek/Tichy,826482
Dumek/Tichy,826483
Dumek/Tichy,826484
Dumek/Tichy,826485
Bjørkesett/Solvoll,826486
Tresnakova/Pilatova,826487
Havlin/Vana,826488
Rouzic/Iwanowski,826489
Aasen/Lindberg,826490
Petutschnig/Winter,826491
Menner/Dressler,826492
Schützenhöfer/Lena,826493
Lili/Angela,826495
Lili/Angela,826496
Lili/Angela,826497
Lili/Angela,826498
Lili/Angela,826499
Lili/Angela,826500
Lili/Angela,826501
Lili/Angela,826502
Lili/Angela,826503
Cicolari/Menegatti,826505
Cicolari/Menegatti,826506
Cicolari/Menegatti,826507
Giombini/Rosso,826508
Giombini/Rosso,826509
Giombini/Rosso,826510
Carrau/Gras,826511
Martin/Menet-Haure,826512
Roubanis/Papageorgiou,826513
Roubanis/Papageorgiou,826514
McCoy/Bird,826515
Bantle/Porterfield,826516
Mariafe/Laird,826517
Millers/Staples,826518
Clarke/Sadler,826519
Hughes/Wong-Orantes,826520
Tucker/Boulanger,826521
Oliveira/Tawhid,826524
Mosfilioti/Charalambous,826525
Verger/Rodríguez,826526
Behlen/Krebs,826527
Ittlinger/Wlk,826528
Hinrichsen/Malescha,826529
Bevers/Poniewaz D.,826530
Maaseide/Ingrid,826531
Horrem/Hordvik,826532
sierra leone/Bangura,826533
sierra leone/Bangura,826534
sierra leone/Bangura,826535
sierra leone/Bangura,826536
sierra leone/Bangura,826537
Tiozzo/Vanin,826538
Boldrini/Romiti,826539
Giordano/Larche,826542
Giordano/Larche,826543
Giordano/Larche,826544
Giordano/Larche,826545
Hamzaoui/Longuet,826546
Hamzaoui/Longuet,826547
Hamzaoui/Longuet,826548
Hamzaoui/Longuet,826549
Tomás/Menéndez,826550
Tomás/Menéndez,826551
Tomás/Menéndez,826552
Yankov/Stoyanov M.,826554
Yankov/Stoyanov M.,826555
Gam 2/Tambedou,826556
Janko/Secka,826557
Jatta/Nyass,826558
Gam ll/Gam l,826559
Yankov/Stoyanov M.,826560
McCoy/Carr,826561
Porterfield/Bird,826562
Facco/Cavestro,826563
Delli Quadri/Graniero Rodriguez,826564
"Orsi Toth, V./Benazzi",826565
Benvenuti/De Luigi,826566
Tucker/Strange,826567
Sihver/Teppan,826568
"Rotrekl/Kufa, R.",826569
Halliday/Williams,826570
Hinchley/Rohkamper,826571
Hinchley/Rohkamper,826572
Hinchley/Rohkamper,826573
"Dollinger, A./Stiel",826576
Böckermann/Urbatzka,826578
Böckermann/Urbatzka,826579
Böckermann/Urbatzka,826580
Böckermann/Urbatzka,826581
Böckermann/Urbatzka,826582
Böckermann/Urbatzka,826583
Böckermann/Urbatzka,826584
Böckermann/Urbatzka,826585
Böckermann/Urbatzka,826586
Paula/Martínez,826589
Baranov/Popovych,826590
Ushkova/Karapischenko,826591
Dabizha/Sorokina,826592
Rutledge/Hochevar,826593
Rutledge/Hochevar,826594
Rutledge/Hochevar,826595
Akers/Branagh,826596
Sidorenko/Dyachenko,826597
Sidorenko/Dyachenko,826598
Sidorenko/Dyachenko,826600
Sidorenko/Dyachenko,826601
Yakovlev/Kuleshov,826602
Yakovlev/Kuleshov,826603
Yakovlev/Kuleshov,826605
Yakovlev/Kuleshov,826606
Tsimbalova/Mashkova,826607
Tsimbalova/Mashkova,826608
Tsimbalova/Mashkova,826610
Tsimbalova/Mashkova,826611
Gabathuler/Schnider,826612
Rothfusz/van Zwieten,826613
Kolev/Nikolov,826621
Kolev/Nikolov,826622
Kolev/Nikolov,826623
Kaczmarek/Walkenhorst,826626
Xenakis/Billiris,826628
Xenakis/Billiris,826629
Xenakis/Billiris,826630
Semenov/Koshkarev,826633
Bogatov/Prokopiev,826634
Likholetov/Pastukhov,826635
Bogatov/Pastukhov,826636
Barsuk/Vozakova,826637
Syrtseva/Ushkova,826638
Michail/Challoumas,826639
Miramontes/Virgen,826640
Nicolai/Martino,826641
Ingrosso P./Ingrosso M.,826642
Lupo/Tomatis,826643
Keskitalo/Ovaska,826644
Sutalo/Ovcina,826645
Alisa/Tena,826646
Bruno/Fuzul,826647
Sandro/Antonio,826648
Boras/Zeljkovic,826649
Dziadkou/Vishneuski,826650
Tomatis/Saraceni,826666
Pekmans/Natrins Dan.,826667
Ukolova/Birlova,826680
Barsuk/Vozakova,826681
Syrtseva/Ushkova,826682
Li Yuk Lo/Rigobert,826683
Kessy/April,826684
Vorlova/Sulcova,826685
Swoboda S./Gschweidl,826686
Novakova/Tobiasova,826687
Hirini/Seymour,826688
Hartles/Muller,826689
"Huber, A./Seidl, R.",826691
"Huber, A./Seidl, R.",826692
Radanovic/Josipa,826693
Maaseide/Ingrid,826694
Maaseide/Ingrid,826695
Maaseide/Ingrid,826696
Maaseide/Ingrid,826697
Georgiou/Hadjidamianou,826699
Schmid/Fuchs,826708
Schmid/Fuchs,826709
Schmid/Fuchs,826710
Rimser/Errath,826712
Raev/Hadzhiev,826713
Raev/Hadzhiev,826714
Frankart/Verschueren,826715
Frankart/Verschueren,826716
