name,no
Klemperer/Koreng,235
Reckermann/Urbatzka,236
Brink/Dieckmann Ch.,237
Herrera/Mesa,238
Arkaev/Kuzmichev,239
Gooding/Miedzybrodzki,240
Weaver/Grotowski,241
Nishimura/Morikawa,242
Asahi/Shiratori,243
Koko/Ardiansyam,244
Xu/Wu,245
Koshkarev/Prokopiev,246
Jury/Burns,247
Williams/Metzger,248
Williams/Wachtfogel,249
De Gruijter/Ronnes,250
Fuerbringer/Jennings,251
Mussa/Fañe,252
Samoilovs/Plavins,253
Boehm/McHugh,254
Gibb/Rosenthal,255
Lochhead/Pitman,256
Gagliano/Dugrip,257
Lario/Gavira,258
Castro/Jhonlenn,259
Freidenfelds/Freidenfelds,260
Nummerdor/Schuil,261
Noda/Fañe,262
Li/Zhou,263
Geor/Gia,264
Thomas/Feuerriegel,265
Wardrop/Zunker,266
Irwin/Mann,267
Alison/Bernardo,268
Kadziola/Szalankiewicz,269
Heath/Peters,270
Babichev/Kuleshov,271
Bowes/Sheaf,272
Kapa/Richardson,273
Legrand/Nielsen,274
Haenga/Leota,275
Watson/Lindsay,276
Newton/Boland,277
Medel/Jewell,278
Murrell/Mercer,279
Carey/Carey,280
Stock/White,281
Ghiurghi/Mascagna,282
Karasev/Dayanov,283
Huseby/Hellum,284
Galli F./Raffaelli,285
Lione/Varnier,286
Malavolta/Ficosecco,287
Murilo/Araujo,288
Indra/Wachter,289
Cicola/Bendandi,290
De Cecco/Tchernichov,291
Casadei/Maccagni,292
Amore/Fenili,293
Tabarini F./Tabarini A.,294
Marolda/Bernabè,295
Marini/Monopoli,296
Helgebostad/Kronstad,297
Bozek/Weiss,298
Pavlas/Svoboda,299
Mccombe/Hill,300
Goss/Domingo,301
Kolar/Rotrekl,302
Redmann/Simek,303
Fölmli/Zurgilgen,304
Desiderio/Patriarca,305
Apicella/Lorenzoni,306
Casali/Casali,307
Grassini/Balsamo,308
Lulla/Rosenblatt,309
Smith/Wyer,310
Raud/Pahn,311
Casey/Parkes,312
Di Tommaso/Falaschetti,313
Lapinta/Frajaudon,314
Cavaliere/Cicchelli,315
Trevisan/Canzian,316
Franco/Cunha,317
Maaseide/Horrem,318
Conde/Baracetti,319
Perez/Suarez,320
Kjemperud/Skarlund,321
