no,code,name,bracket,NoTournament_id
56126,QF,Quarterfinals,W,4403
56127,SF,Semifinals,S,4403
56128,F3,Final 3rd Place,F,4403
56129,F1,Final 1st Place,F,4403
56130,PA,Pool A,A,4404
56131,PB,Pool B,B,4404
56132,PC,Pool C,C,4404
56133,PD,Pool D,D,4404
56134,R12,Round of 12,W,4404
56135,QF,Quarterfinals,W,4404
56136,SF,Semifinals,S,4404
56137,F3,Final 3rd Place,F,4404
56138,F1,Final 1st Place,F,4404
56139,I,Round 1,W,4482
56140,II,Round 2,W,4482
56141,I,Round 1,W,4483
56142,II,Round 2,W,4483
56151,PA,Pool A,A,4389
56152,PB,Pool B,B,4389
56153,PC,Pool C,C,4389
56154,PD,Pool D,D,4389
56155,QF,Quarterfinals,W,4389
56156,SF,Semifinals,S,4389
56157,F3,Final 3rd Place,F,4389
56158,F1,Final 1st Place,F,4389
56163,QF,Quarter-finals,Q,4388
56164,SF,Semi-finals,S,4388
56165,F3,Final 3rd Place,F,4388
56166,F1,Final 1st Place,F,4388
56176,PA,Pool A,A,4495
56177,PB,Pool B,B,4495
56178,PC,Pool C,C,4495
56179,PD,Pool D,D,4495
56180,QF,Quarterfinals,W,4495
56181,SF,Semifinals,S,4495
56182,F3,Final 3rd Place,F,4495
56183,F1,Final 1st Place,F,4495
56184,PA,Pool A,A,4391
56185,PB,Pool B,B,4391
56186,PC,Pool C,C,4391
56187,PD,Pool D,D,4391
56188,R12,Round of 12,W,4391
56189,QF,Quarterfinals,W,4391
56190,SF,Semifinals,S,4391
56191,F3,Final 3rd Place,F,4391
56192,F1,Final 1st Place,F,4391
56241,I,Round 1,W,4512
56242,II,Round 2,W,4512
56243,R13,Loser are ranked 13th,L,4512
56244,R9,Loser are ranked 9th,L,4512
56245,III,Round 3,W,4512
56246,R7,Loser are ranked 7th,L,4512
56247,R5,Loser are ranked 5th,L,4512
56248,SF,Semifinals,W,4512
56249,F3,Final 3rd Place,F,4512
56250,F1,Final 1st Place,F,4512
56265,PA,Pool A,A,4521
56266,SF,Semifinals,S,4521
56267,F3,Final 3rd Place,F,4521
56268,F1,Final 1st Place,F,4521
56273,I,Round 1,W,4513
56274,II,Round 2,W,4513
56275,R13,Loser are ranked 13th,L,4513
56276,R9,Loser are ranked 9th,L,4513
56277,III,Round 3,W,4513
56278,R7,Loser are ranked 7th,L,4513
56279,R5,Loser are ranked 5th,L,4513
56280,SF,Semifinals,W,4513
