no,code,name,bracket,NoTournament_id
58881,SF,Semifinals,S,4423
58882,F3,Final 3rd Place,F,4423
58883,F1,Final 1st Place,F,4423
58887,PQ,Pre-Qualification,W,4424
58888,Q1,Qualification Round 1,W,4424
58889,Q2,Qualification Round 2,W,4424
58923,PA,Pool A,A,4596
58924,PB,Pool B,B,4596
58925,PC,Pool C,C,4596
58926,PD,Pool D,D,4596
58927,SF17-20,Semifinals 17-20,L,4596
58928,SF13-16,Semifinals 13-16,L,4596
58929,SF9-12,Semifinals 9-12,L,4596
58930,SF5-8,Semifinals 5-8,L,4596
58931,F19,Final 19th Place,F,4596
58932,F17,Final 17th Place,F,4596
58933,F15,Final 15th Place,F,4596
58934,F13,Final 13th Place,F,4596
58935,QF,Quarterfinals,W,4596
58936,F11,Final 11th Place,F,4596
58937,F9,Final 9th Place,F,4596
58938,F7,Final 7th Place,F,4596
58939,F5,Final 5th Place,F,4596
58940,SF,Semifinals,S,4596
58941,F3,Final 3rd Place,F,4596
58942,F1,Final 1st Place,F,4596
58943,PA,Pool A,A,4595
58944,PB,Pool B,B,4595
58945,PC,Pool C,C,4595
58946,PD,Pool D,D,4595
58947,SF17-20,Semifinals 17-20,L,4595
58948,SF13-16,Semifinals 13-16,L,4595
58949,SF9-12,Semifinals 9-12,L,4595
58950,SF5-8,Semifinals 5-8,L,4595
58951,F19,Final 19th Place,F,4595
58952,F17,Final 17th Place,F,4595
58953,F15,Final 15th Place,F,4595
58954,F13,Final 13th Place,F,4595
58955,QF,Quarterfinals,W,4595
58956,F11,Final 11th Place,F,4595
58957,F9,Final 9th Place,F,4595
58958,F7,Final 7th Place,F,4595
58959,F5,Final 5th Place,F,4595
58960,SF,Semifinals,S,4595
58961,F3,Final 3rd Place,F,4595
58962,F1,Final 1st Place,F,4595
58969,1,Round 1,W,4424
58970,2,Round 2,W,4424
58971,R33,Losers are ranked 33th,L,4424
58972,3,Round 3,W,4424
58973,R25,Losers are ranked 25th,L,4424
58974,R17,Losers are ranked 17th,L,4424
58975,4,Round 4,W,4424
58976,R13,Losers are ranked 13th,L,4424
58977,5,Round 5,W,4424
58978,R9,Losers are ranked 9th,L,4424
58979,R7,Losers are ranked 7th,L,4424
58980,R5,Losers are ranked 5th,L,4424
58981,SF,Semifinals,S,4424
58982,F3,Final 3rd Place,F,4424
58983,F1,Final 1st Place,F,4424
58984,PQ,Pre-Qualification,W,4425
58985,Q1,Qualification Round 1,W,4425
58986,Q2,Qualification Round 2,W,4425
58987,I,Round 1,W,4431
58988,II,Round 2,W,4431
58989,I,Round 1,W,4430
58990,II,Round 2,W,4430
58991,1,Round 1,W,4425
58992,2,Round 2,W,4425
58993,R33,Losers are ranked 33th,L,4425
58994,3,Round 3,W,4425
58995,R25,Losers are ranked 25th,L,4425
58996,R17,Losers are ranked 17th,L,4425
58997,4,Round 4,W,4425
58998,R13,Losers are ranked 13th,L,4425
58999,5,Round 5,W,4425
59000,R9,Losers are ranked 9th,L,4425
59001,R7,Losers are ranked 7th,L,4425
59002,R5,Losers are ranked 5th,L,4425
59003,SF,Semifinals,S,4425
59004,F3,Final 3rd Place,F,4425
59005,F1,Final 1st Place,F,4425
59011,I,Round 1,W,4426
59012,II,Round 2,W,4426
59015,PA,Pool A,A,4430
59016,PB,Pool B,B,4430
59017,PC,Pool C,C,4430
59018,PD,Pool D,D,4430
59019,PE,Pool E,E,4430
59020,PF,Pool F,F,4430
59021,PG,Pool G,G,4430
59022,PH,Pool H,H,4430
59023,I,Round 1,W,4430
59024,II,Round 2,W,4430
59025,III,Round 3,W,4430
59026,SF,Semifinals,S,4430
59027,F3,Final 3rd Place,F,4430
59028,F1,Final 1st Place,F,4430
59029,PA,Pool A,A,4431
59030,PB,Pool B,B,4431
59031,PC,Pool C,C,4431
59032,PD,Pool D,D,4431
59033,PE,Pool E,E,4431
59034,PF,Pool F,F,4431
59035,PG,Pool G,G,4431
59036,PH,Pool H,H,4431
59037,I,Round 1,W,4431
59038,II,Round 2,W,4431
59039,III,Round 3,W,4431
59040,SF,Semifinals,S,4431
59041,F3,Final 3rd Place,F,4431
59042,F1,Final 1st Place,F,4431
59045,I,Round 1,W,4579
59046,II,Round 2,W,4579
59047,PA,Pool A,A,4427
59048,PB,Pool B,B,4427
59049,PC,Pool C,C,4427
59050,PD,Pool D,D,4427
59051,R12,Round of 12,W,4427
59052,QF,Quarterfinals,W,4427
59053,SF,Semifinals,S,4427
59054,F3,Final 3rd Place,F,4427
59055,F1,Final 1st Place,F,4427
59056,PA,Pool A,A,4426
59057,PB,Pool B,B,4426
59058,PC,Pool C,C,4426
59059,PD,Pool D,D,4426
59060,R12,Round of 12,W,4426
59061,QF,Quarterfinals,W,4426
59062,SF,Semifinals,S,4426
59063,F3,Final 3rd Place,F,4426
59064,F1,Final 1st Place,F,4426
59076,PA,Pool A,A,4579
59077,PB,Pool B,B,4579
59078,PC,Pool C,C,4579
59079,PD,Pool D,D,4579
59080,PE,Pool E,E,4579
59081,PF,Pool F,F,4579
59082,R16,Round of 16,W,4579
59083,QF,Quarterfinals,W,4579
59084,SF,Semifinals,S,4579
59085,F3,Final 3rd Place,F,4579
59086,F1,Final 1st Place,F,4579
59091,I,Round 1,W,4433
59092,II,Round 2,W,4433
59093,I,Round 1,W,4434
59094,II,Round 2,W,4434
59101,PA,Pool A,A,4434
59102,PB,Pool B,B,4434
59103,PC,Pool C,C,4434
59104,PD,Pool D,D,4434
59105,PE,Pool E,E,4434
59106,PF,Pool F,F,4434
59107,PG,Pool G,G,4434
59108,PH,Pool H,H,4434
59109,I,Round 1,W,4434
59110,II,Round 2,W,4434
59111,III,Round 3,W,4434
59112,SF,Semifinals,S,4434
59113,F3,Final 3rd Place,F,4434
59114,F1,Final 1st Place,F,4434
59115,PA,Pool A,A,4433
59116,PB,Pool B,B,4433
59117,PC,Pool C,C,4433
59118,PD,Pool D,D,4433
59119,PE,Pool E,E,4433
59120,PF,Pool F,F,4433
59121,PG,Pool G,G,4433
59122,PH,Pool H,H,4433
59123,I,Round 1,W,4433
59124,II,Round 2,W,4433
59125,III,Round 3,W,4433
59126,SF,Semifinals,S,4433
59127,F3,Final 3rd Place,F,4433
59128,F1,Final 1st Place,F,4433
59136,PA,Pool A,A,4644
59137,PB,Pool B,B,4644
59138,I,Round 1,I,4644
59139,SF,Semifinals,S,4644
59140,F3,Final 3rd Place,F,4644
59141,F1,Final 1st Place,F,4644
59160,I,Round 1,W,4432
59161,II,Round 2,W,4432
59164,PA,Pool A,A,4432
59165,PB,Pool B,B,4432
59166,PC,Pool C,C,4432
59167,PD,Pool D,D,4432
59168,R12,Round of 12,W,4432
59169,QF,Quarterfinals,W,4432
59170,SF,Semifinals,S,4432
59171,F3,Final 3rd Place,F,4432
59172,F1,Final 1st Place,F,4432
59234,I,Round 1,W,4645
59237,I,Round 1,W,4436
59238,II,Round 2,W,4436
59239,I,Round 1,W,4435
59240,II,Round 2,W,4435
59245,PA,Pool A,A,4436
59246,PB,Pool B,B,4436
59247,PC,Pool C,C,4436
59248,PD,Pool D,D,4436
59249,R12,Round of 12,W,4436
59250,QF,Quarterfinals,W,4436
59251,SF,Semifinals,S,4436
59252,F3,Final 3rd Place,F,4436
59253,F1,Final 1st Place,F,4436
59254,PA,Pool A,A,4435
59255,PB,Pool B,B,4435
59256,PC,Pool C,C,4435
59257,PD,Pool D,D,4435
59258,R12,Round of 12,W,4435
59259,QF,Quarterfinals,W,4435
59260,SF,Semifinals,S,4435
59261,F3,Final 3rd Place,F,4435
59262,F1,Final 1st Place,F,4435
59321,I,Round 1,W,4438
59322,II,Round 2,W,4438
59329,I,Round 1,W,4437
59330,II,Round 2,W,4437
59331,I,Round 1,W,4440
59332,II,Round 2,W,4440
59333,I,Round 1,W,4439
59334,II,Round 2,W,4439
59363,PA,Pool A,A,4438
59364,PB,Pool B,B,4438
59365,PC,Pool C,C,4438
59366,PD,Pool D,D,4438
59367,PE,Pool E,E,4438
59368,PF,Pool F,F,4438
59369,PG,Pool G,G,4438
59370,PH,Pool H,H,4438
59371,I,Round 1,W,4438
59372,II,Round 2,W,4438
59373,III,Round 3,W,4438
59374,SF,Semifinals,S,4438
59375,F3,Final 3rd Place,F,4438
59376,F1,Final 1st Place,F,4438
59377,PA,Pool A,A,4437
59378,PB,Pool B,B,4437
59379,PC,Pool C,C,4437
59380,PD,Pool D,D,4437
59381,PE,Pool E,E,4437
59382,PF,Pool F,F,4437
59383,PG,Pool G,G,4437
59384,PH,Pool H,H,4437
59385,I,Round 1,W,4437
59386,II,Round 2,W,4437
59387,III,Round 3,W,4437
59388,SF,Semifinals,S,4437
59389,F3,Final 3rd Place,F,4437
59390,F1,Final 1st Place,F,4437
59391,PA,Pool A,A,4440
59392,PB,Pool B,B,4440
59393,PC,Pool C,C,4440
59394,PD,Pool D,D,4440
59395,R12,Round of 12,W,4440
59396,QF,Quarterfinals,W,4440
59397,SF,Semifinals,S,4440
59398,F3,Final 3rd Place,F,4440
59399,F1,Final 1st Place,F,4440
59400,PA,Pool A,A,4439
59401,PB,Pool B,B,4439
59402,PC,Pool C,C,4439
59403,PD,Pool D,D,4439
59404,R12,Round of 12,W,4439
59405,QF,Quarterfinals,W,4439
59406,SF,Semifinals,S,4439
59407,F3,Final 3rd Place,F,4439
59408,F1,Final 1st Place,F,4439
59409,I,Round 1,W,4601
59410,I,Round 1,W,4601
59411,II,Round 2,W,4601
59412,R7,Loser are ranked 7th,L,4601
59413,R5,Loser are ranked 5th,L,4601
59414,SF,Semifinals,W,4601
59415,F3,Final 3rd Place,F,4601
59416,F1,Final 1st Place,F,4601
59417,I,Round 1,W,4602
59418,I,Round 1,W,4602
59419,II,Round 2,W,4602
59420,R7,Loser are ranked 7th,L,4602
59421,R5,Loser are ranked 5th,L,4602
59422,SF,Semifinals,W,4602
59423,F3,Final 3rd Place,F,4602
59424,F1,Final 1st Place,F,4602
59425,I,Round 1,W,4671
59426,II,Round 2,W,4671
59427,R25,Losers are ranked 25th,L,4671
59428,R17,Losers are ranked 17th,L,4671
59429,III,Round 3,W,4671
59430,R13,Losers are ranked 13th,L,4671
59431,R9,Losers are ranked 9th,L,4671
59432,IIII,Round 4,W,4671
59433,R7,Losers are ranked 7th,L,4671
59434,R5,Losers are ranked 5th,L,4671
59435,SF,Semifinals,S,4671
59436,F3,Final 3rd Place,F,4671
59437,F1,Final 1st Place,F,4671
59444,PA,Pool A,A,4567
59445,PB,Pool B,B,4567
59446,I,Round 1,I,4567
59447,SF,Semifinals,S,4567
59448,F3,Final 3rd Place,F,4567
59449,F1,Final 1st Place,F,4567
59450,PA,Pool A,A,4566
59451,PB,Pool B,B,4566
59452,I,Round 1,I,4566
59453,SF,Semifinals,S,4566
59454,F3,Final 3rd Place,F,4566
59455,F1,Final 1st Place,F,4566
59462,I,Round 1,W,4516
59463,II,Round 2,W,4516
59464,I,Round 1,W,4672
59465,II,Round 2,W,4672
59466,R25,Losers are ranked 25th,L,4672
59467,R17,Losers are ranked 17th,L,4672
59468,III,Round 3,W,4672
59469,R13,Losers are ranked 13th,L,4672
59470,R9,Losers are ranked 9th,L,4672
59471,IIII,Round 4,W,4672
59472,R7,Losers are ranked 7th,L,4672
59473,R5,Losers are ranked 5th,L,4672
59474,SF,Semifinals,S,4672
59475,F3,Final 3rd Place,F,4672
59476,F1,Final 1st Place,F,4672
59493,PA,Pool A,A,4516
59494,PB,Pool B,B,4516
59495,PC,Pool C,C,4516
59496,PD,Pool D,D,4516
59497,I,Round 1,W,4516
59498,QF,Quarterfinals,W,4516
59499,SF,Semifinals,S,4516
59500,F3,Final 3rd Place,F,4516
59501,F1,Final 1st Place,F,4516
59502,PA,Pool A,A,4517
59503,PB,Pool B,B,4517
59504,PC,Pool C,C,4517
59505,PD,Pool D,D,4517
59506,I,Round 1,W,4517
59507,QF,Quarterfinals,W,4517
59508,SF,Semifinals,S,4517
59509,F3,Final 3rd Place,F,4517
59510,F1,Final 1st Place,F,4517
59512,I,Round 1,W,4677
59513,II,Round 2,W,4677
59514,R13,Loser are ranked 13th,L,4677
59515,R9,Loser are ranked 9th,L,4677
59516,III,Round 3,W,4677
